carcass_id,carcass_type,carcass_taxon,tissue_type,tissue_replication,block_id,wet_mass,water_mass,dry_mass,protein_mass,fat_mass,total_mass,prop_protein
26,lab,mammal,muscle,3,2,0.1037,0.0724,0.0313,0.0277,0.034715526,0.1037,0.267116683
26,lab,mammal,viscera,1,2,0.0829,0.0445,0.0384,0.0286,0.148018648,0.0858,0.333333333
26,lab,mammal,viscera,2,2,0.0921,0.0643,0.0278,0.0234,0.054956897,0.0928,0.252155172
26,lab,mammal,viscera,3,2,0.0884,0.0681,0.0203,0.0197,0.007909605,0.0885,0.22259887
27,lab,mammal,muscle,1,2,0.1006,0.0766,0.024,0.024,0,0.1006,0.238568588
27,lab,mammal,muscle,2,2,0.0892,0.0657,0.0235,0.0235,0,0.0892,0.263452915
27,lab,mammal,muscle,3,2,0.1169,0.0821,0.0348,0.0307,0.038363171,0.1173,0.26172208
27,lab,mammal,viscera,1,2,0.0802,0.0457,0.0345,0.0239,0.158403869,0.0827,0.288996372
27,lab,mammal,viscera,2,2,0.0964,0.072,0.0244,0.0244,0.01026694,0.0974,0.250513347
27,lab,mammal,viscera,3,2,0.0904,0.0656,0.0248,0.0248,0.001104972,0.0905,0.274033149
