block_id,carcass_id,carcass_type,carcass_taxon,tissue_type,tissue_replication,tissue_mass_g,family_id,success,initial_larval_mass_g,end_larval_mass_g,larval_weight_gain,mean_prop_protein,mean_prop_fat
1,11,lab,mammal,muscle,1,0.3917,45,1,0.00233,0.10237,0.10004,0.237372523,0.017549183
1,11,lab,mammal,muscle,2,0.3927,40,1,0.00256,0.04906,0.0465,0.237372523,0.017549183
1,11,lab,mammal,muscle,3,0.42476,24,0,0.00233,NA,NA,0.237372523,0.017549183
1,11,lab,mammal,viscera,1,0.41271,45,0,0.00234,NA,NA,0.213754291,0.01036208
1,11,lab,mammal,viscera,2,0.40723,40,0,0.00233,NA,NA,0.213754291,0.01036208
1,11,lab,mammal,viscera,3,0.40771,24,0,0.00263,NA,NA,0.213754291,0.01036208
1,12,lab,mammal,muscle,1,0.3895,45,0,0.00245,NA,NA,0.281268379,0.002118644
1,12,lab,mammal,muscle,2,0.3873,40,1,0.00222,0.0751,0.07288,0.281268379,0.002118644
1,12,lab,mammal,muscle,3,0.38095,24,1,0.00209,0.07157,0.06948,0.281268379,0.002118644
1,12,lab,mammal,viscera,1,0.43253,45,0,0.00244,NA,NA,0.221427215,0.027204717
1,12,lab,mammal,viscera,2,0.41127,40,0,0.00212,NA,NA,0.221427215,0.027204717
1,12,lab,mammal,viscera,3,0.39378,24,0,0.00234,NA,NA,0.221427215,0.027204717
1,1,wild,bird,muscle,4,0.39458,28,0,0.00309,NA,NA,0.262984096,0.197876556
1,2,wild,bird,muscle,4,0.4066,28,0,0.00297,NA,NA,0.284432722,0.004627887
1,2,wild,bird,muscle,5,0.42051,33,1,0.00357,0.11667,0.11309999999999999,0.284432722,0.004627887
1,2,wild,bird,muscle,6,0.39048,31,1,0.00233,0.09484,0.09251,0.284432722,0.004627887
1,2,wild,bird,viscera,4,0.39781,28,0,0.00314,NA,NA,0.302400576,0.008881346
1,2,wild,bird,viscera,5,0.42761,33,0,0.00285,NA,NA,0.302400576,0.008881346
1,3,wild,bird,muscle,4,0.42623,28,0,0.00319,NA,NA,0.271550151,0.019812845
1,3,wild,bird,muscle,5,0.42163,33,1,0.00329,0.06687,0.06358,0.271550151,0.019812845
1,3,wild,bird,muscle,6,0.39675,31,0,0.00202,NA,NA,0.271550151,0.019812845
1,3,wild,bird,viscera,4,0.40849,28,0,0.00324,NA,NA,0.264421894,0.008330023
