date,carcass_sp_Chinese,carcass_type,carcass_taxon,carcass_weight,parent_generation,pair_id,male_size,female_size,clutch_size,n_larvae,total_larval_mass,carcass_weight_loss,breeding_success,prop_eggs_developed,average_larval_mass,larval_density,efficiency
2023-09-17,白頭翁,wild,birds,28.83,2,16,5.5,5.55,32,25,7.3015,NA,1,0.78125,0.29206,0.8671522719389525,NA
2023-09-17,青蛇,wild,reptiles,51.91,2,17,4.73,5.41,39,15,2.7054,NA,1,0.38461538461538464,0.18036,0.2889616644191871,NA
2023-09-17,五色鳥,wild,birds,76.12,2,18,5.92,5.75,12,13,2.293,NA,1,1.0833333333333333,0.1763846153846154,0.17078297425118233,NA
2023-09-17,樹鵲,wild,birds,48.56,2,19,5.31,5.63,23,0,0,NA,0,0,NA,NA,NA
2023-09-17,亞洲輝椋鳥,wild,birds,44.15,2,20,5.14,5.68,24,16,4.003,NA,1,0.6666666666666666,0.2501875,0.36240090600226504,NA
2023-09-17,珠頸斑鳩,wild,birds,85.6,2,21,5.36,5.92,0,0,0,NA,0,NA,NA,NA,NA
2023-09-17,小白鷺,wild,birds,124.59,2,22,5.87,5.85,30,9,3.311,NA,1,0.3,0.3678888888888889,0.07223693715386467,NA
2023-09-17,麻雀,wild,birds,21.98,2,23,5.83,5.39,32,35,7.6583,NA,1,1.09375,0.2188085714285714,1.592356687898089,NA
2023-09-17,小白鼠,lab,mammals,5.9,2,1,5.07,6.1,13,10,1.7672,NA,1,0.7692307692307693,0.17672000000000002,1.694915254237288,NA
2023-09-17,小白鼠,lab,mammals,5.84,2,2,5.66,6.01,15,0,0,NA,0,0,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,3.1,2,3,5.37,5.32,NA,0,0,NA,0,NA,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,3.59,2,4,6.14,5.37,1,0,0,NA,0,0,NA,NA,NA
2023-09-17,小白鼠,lab,mammals,10.77,2,5,5.56,5.21,15,6,1.6231,NA,1,0.4,0.2705166666666667,0.5571030640668524,NA
