date,time,parent_generation,tr,carc_type,carc_stage,carc_date,carc_wt,pair,male,female,male_size,female_size,larvae,success,carcass_used,tot_mass,efficiency_new_method,efficiency,ball,larvae_presence,hair_removal,clutch_size,egg_presence,notes,time_to_ball,time_to_larvae_presence,time_to_hair_removal,time_to_egg_presence,,yield,larval_density,sp,class,class_bird
2023/11/28,,3,lab,小白鼠,,,21.51,24,54,36,4.57,5.03,13,1,9.1448,3.8552,0.0977,0.179228266,,,,29,,1,,,,,,0.296553846,0.60437006,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,25.66,25,55,61,5.41,5.22,30,1,22.8144,7.1856,0.3257,0.280031177,,,,43,,1,,,,,,0.23952,1.16913484,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,27.5,26,5,15,5.3,5.01,19,1,14.1937,4.8063,0.2565,0.174774545,,,,72,,1,,,,,,0.252963158,0.690909091,小白鼠,mammals,mice
2023/11/28,,3,lab,大白鼠,,,52.63,27,16,27,5.34,5.16,30,1,20.7235,9.2765,0.2169,0.176258788,,,,26,,1,,,,,,0.309216667,0.570017101,大白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,10.24,28,9,30,4.41,5.14,15,1,13.2588,1.7412,0.2688,0.170039063,,,,24,,1,,,,,,0.11608,1.46484375,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,19.73,29,29,33,4.49,5.5,29,1,23.6273,5.3727,0.3592,0.272311201,,,,44,,1,,,,,,0.185265517,1.469842879,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,19.29,30,24,54,5.21,4.6,19,1,15.1458,3.8542,0.2945,0.199803007,,,,17,,1,,,,,,0.202852632,0.984966304,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,25.59,31,18,9,5.79,4.65,29,1,23.1151,5.8849,0.4355,0.229968738,,,,40,,1,,,,,,0.202927586,1.133255178,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,15.67,32,25,11,6.11,4.43,0,0,0,0,0.1331,,,,,0,,1,,,,,,,,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,10.37,33,57,47,5.49,5.57,16,1,13.8742,2.1258,0.3226,0.204995178,,,,35,,1,,,,,,0.1328625,1.542912247,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,11.72,34,51,48,4.44,5.76,13,1,10.41,2.59,0.3417,0.220989761,,,,24,,1,,,,,,0.199230769,1.109215017,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,10.73,35,28,50,5.01,5.76,18,1,17.6036,0.3964,0.1418,0.03694315,,,,42,,1,,,,,,0.022022222,1.677539609,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,17.12,36,49,1,5.51,4.59,34,1,31.0849,2.9151,0.3114,0.170274533,,,,30,,1,,,,,,0.085738235,1.985981308,小白鼠,mammals,mice
2023/11/28,,3,lab,小白鼠,,,23.52,37,26,56,5.57,4.86,10,1,7.0849,2.9151,0.1893,0.123941327,,,,42,,1,,,,,,0.29151,0.425170068,小白鼠,mammals,mice
2023/11/28,,3,lab,大白鼠,,,88.09,38,13,62,4.74,5.16,0,0,0,0,0.1267,,,,,5,,1,,,,,,,,大白鼠,mammals,mice
2023/11/28,,3,lab,大白鼠,,,80.21,39,27,38,5.01,5.28,0,0,0,0,0.7089,,,,,44,,1,,,,,,,,大白鼠,mammals,mice
2023/11/28,,3,lab,大白鼠,,,98.88,40,29,39,5.15,4.43,0,0,0,0,0.1911,,,,,0,,1,,,,,,,,大白鼠,mammals,mice
2023/11/28,,3,wild,#448832,,,3.79,1,1,7,4.46,4.41,0,0,0.11,0,0.029023747,,,,,0,,1,,,,,,,,東亞家蝠,mammals,others
2023/11/28,,3,wild,#42800,,,5.71,2,13,25,4.92,5.77,10,1,2.4297,1.5197,0.425516637,0.26614711,,,,13,,1,,,,,,0.15197,1.751313485,東亞家蝠,mammals,others
2023/11/28,,3,wild,家燕,,,7.4,3,20,29,4.91,5.08,6,1,1.3297,0.4397,0.179689189,0.059418919,,,,24,,1,,,,,,0.073283333,0.810810811,家燕,birds,birds
2023/11/28,,3,wild,#460883,,,10.65,4,33,44,5.65,4.83,15,1,3.1569,2.3947,0.296422535,0.22485446,,,,34,,1,,,,,,0.159646667,1.408450704,斯氏繡眼,birds,birds
2023/11/28,,3,wild,#467302,,,20.21,5,36,49,4.96,5.26,14,1,4.3805,2.996,0.216749134,0.148243444,,,,17,,1,,,,,,0.214,0.692726373,翠鳥,birds,birds
2023/11/28,,3,wild,#452592,,,17.45,6,38,42,4.55,5.48,0,0,0.04,0,0.002292264,,,,,0,,1,,,,,,,,麻雀,birds,birds
2023/11/28,,3,wild,#447689,,,13.04,7,47,51,5.11,5.58,0,0,0.76,0,0.058282209,,,,,0,,1,,,,,,,,南蛇,reptiles,others
2023/11/28,,3,wild,#455751,,,13.64,8,56,62,5.12,5.44,0,0,0.89,0,0.065249267,,,,,27,,1,,,,,,,,鉛色水蛇,reptiles,others
2023/11/28,,3,wild,臭鼩,,,7.84,9,58,60,4.46,5.37,0,0,0.85,0,0.108418367,,,,,17,,1,,,,,,,,臭鼩,mammals,others
2023/11/28,,3,wild,#440910,,,9.12,10,42,39,5.38,4.98,4,1,2.1822,1.3622,0.239276316,0.149364035,,,,12,,1,,,,,,0.34055,0.438596491,斯文豪氏攀蜥,reptiles,others
2023/11/28,,3,wild,麻雀,,,12.27,11,6,46,4.9,5.16,17,1,3.1791,2.418,0.259095355,0.197066015,,,,16,,1,,,,,,0.142235294,1.385493073,麻雀,birds,birds
2023/11/28,,3,wild,白頭翁,,,12.75,12,18,26,5.11,5.08,13,1,2.1149,1.2449,0.16587451,0.097639216,,,,27,,1,,,,,,0.095761538,1.019607843,白頭翁,birds,birds
2023/11/28,,3,wild,#441567,,,23.01,13,8,13,4.35,5.12,14,1,3.819,2.449,0.165971317,0.106431986,,,,20,,1,,,,,,0.174928571,0.608431117,麻雀,birds,birds
2023/11/28,,3,wild,#446496,,,25.72,14,39,57,5.52,4.97,19,1,5.6775,5.3175,0.220742613,0.206745723,,,,19,,1,,,,,,0.279868421,0.738724728,長尾真稜蜥,reptiles,others
2023/11/28,,3,wild,雨傘節,,,25.21,15,61,37,5.37,5.04,0,0,1.68,0,0.066640222,,,,,30,,1,,,,,,,,雨傘節,reptiles,others
2023/11/28,,3,wild,#461045,,,28.1,16,32,10,4.64,5.05,25,1,2.7349,4.7512,0.097327402,0.169081851,,,,16,,1,,,,,,0.190048,0.889679715,白頭翁,birds,birds
2023/11/28,,3,wild,#462476,,,27.82,17,15,24,4.86,4.97,29,1,9.0581,7.7581,0.325596693,0.278867721,,,,28,,1,,,,,,0.26752069,1.042415528,白頭翁,birds,birds
2023/11/28,,3,wild,#442722,,,25.46,18,20,40,5.65,4.67,0,0,1.82,0,0.071484682,,,,,0,,1,,,,,,,,長尾真稜蜥,reptiles,others
2023/11/28,,3,wild,#466492,,,27.61,19,50,58,5.87,4.93,36,1,9.4091,7.4085,0.340785947,0.268326693,,,,48,,1,,,,,,0.205791667,1.303875407,大頭蛇,reptiles,others
2023/11/28,,3,wild,大頭蛇,,,43.23,20,11,38,4.86,5.24,7,1,4.8546,2.1246,0.112297016,0.049146426,,,,40,,1,,,,,,0.303514286,0.161924589,大頭蛇,reptiles,others
2023/11/28,,3,wild,#440911,,,43.95,21,7,16,5.31,5.53,30,1,10.9015,8.24,0.248043231,0.187485779,,,,36,,1,,,,,,0.274666667,0.682593857,大頭蛇,reptiles,others
2023/11/28,,3,wild,#447979,,,21.37,22,27,28,4.6,5.54,16,1,6.5787,3.8801,0.30784745,0.181567618,,,,32,,1,,,,,,0.24250625,0.748713149,麻雀,birds,birds
2023/11/28,,3,wild,#460048,,,22.06,23,37,6,5.06,4.33,5,1,3.6411,0.8132,0.165054397,0.036863101,,,,0,,1,,,,,,0.16264,0.226654578,麻雀,birds,birds
2023/11/28,,3,wild,#468114,,,19.2,24,54,36,5.12,4.82,19,1,4.7012,3.4233,0.244854167,0.178296875,,,,0,,1,,,,,,0.180173684,0.989583333,麻雀,birds,birds
2023/11/28,,3,wild,#464760,,,24.78,25,55,61,4.96,5.25,29,1,8.2796,4.8142,0.334124294,0.194277643,,,,29,,1,,,,,,0.166006897,1.170298628,白頭翁,birds,birds
2023/11/28,,3,wild,#446896,,,25.44,26,5,15,5.3,5.53,24,1,4.9807,3.8507,0.195782233,0.151363994,,,,33,,1,,,,,,0.160445833,0.943396226,長尾真稜蜥,reptiles,others
2023/11/28,,3,wild,#463978,,,42.96,27,16,27,5.62,5.03,0,0,2.0379,0,0.047437151,,,,,28,,1,,,,,,,,紅斑蛇,reptiles,others
2023/11/28,,3,wild,家燕,,,8,28,9,30,4.69,5.25,0,0,12.6942,0,1.586775,,,,,14,,1,,,,,,,,家燕,birds,birds
2023/11/28,,3,wild,#463032,,,19.26,29,29,33,4.87,5.57,0,0,4.2271,0,0.219475597,,,,,62,,1,,,,,,,,麻雀,birds,birds
2023/11/28,,3,wild,#459338,,,18.77,30,24,54,5.17,4.94,19,1,5.6114,4.1007,0.298955781,0.218470964,,,,47,,1,,,,,,0.215826316,1.012253596,麻雀,birds,birds
2023/11/28,,3,wild,#454838,,,23.37,31,18,9,5.19,4.62,32,1,7.9239,6.4013,0.339062901,0.273910997,,,,30,,1,,,,,,0.200040625,1.369276851,麻雀,birds,birds
2023/11/28,,3,wild,#462248,,,13.15,32,25,11,5.84,4.18,0,0,1.55,0,0.117870722,,,,,0,,1,,,,,,,,家燕,birds,birds
2023/11/28,,3,wild,#448622,,,8.19,33,57,47,5.59,5.53,14,1,11.014,1.894,1.344810745,0.231257631,,,,0,,1,,,,,,0.135285714,1.709401709,褐頭鷦鶯(台灣亞種),birds,birds
2023/11/28,,3,wild,#457699,,,10.35,34,51,48,4.6,5.44,0,0,1.9543,0,0.188821256,,,,,0,,1,,,,,,,,斯氏繡眼,birds,birds
2023/11/28,,3,wild,#465226,,,9.06,35,28,50,5.7,5.44,11,1,2.4298,1.8612,0.268189845,0.205430464,,,,6,,1,,,,,,0.1692,1.214128035,斯氏繡眼,birds,birds
2023/11/28,,3,wild,#459046,,,15.16,36,49,1,5.28,4.51,23,1,5.6457,4.3357,0.372407652,0.285996042,,,,21,,1,,,,,,0.188508696,1.517150396,白頭翁,birds,birds
2023/11/28,,3,wild,#465188,,,21.91,37,26,56,5.27,4.51,21,1,7.5169,3.012,0.343080785,0.137471474,,,,25,,1,,,,,,0.143428571,0.958466454,赤尾青竹絲,reptiles,others
2023/11/28,,3,wild,金背鳩,,,108.75,38,13,62,5.43,5.24,36,1,28.008,7.178,0.257544828,0.066004598,,,,30,,1,,,,,,0.199388889,0.331034483,金背鳩,birds,birds
2023/11/28,,3,wild,紅鳩,,,99.53,39,27,38,5.11,4.88,3,1,5.1663,0.9092,0.051906963,0.009134934,,,,34,,1,,,,,,0.303066667,0.030141666,紅鳩,birds,birds
2023/11/28,,3,wild,金背鳩,,,98.89,40,29,39,5.21,5.29,0,0,0,3.5947,0.03635049,,,,,17,,1,,,,,,,,金背鳩,birds,birds
